Month,Turnover
Jan-2006,4979.4
Feb-2006,4496.9
Mar-2006,5003.8
Apr-2006,4953
May-2006,5036.8
Jun-2006,5044.5
Jul-2006,5081.7
Aug-2006,5081.5
Sep-2006,5118.6
Oct-2006,5352.2
Nov-2006,5573.7
Dec-2006,7014.5
Jan-2007,5293
Feb-2007,4791.5
Mar-2007,5408
Apr-2007,5187.5
May-2007,5316.4
Jun-2007,5321.7
Jul-2007,5428
Aug-2007,5538
Sep-2007,5537.3
Oct-2007,5784.4
Nov-2007,6027.4
Dec-2007,7552
Jan-2008,5666.2
Feb-2008,5216.4
Mar-2008,5513.5
Apr-2008,5416.9
May-2008,5588.5
Jun-2008,5376.1
Jul-2008,5498.5
Aug-2008,5446.9
Sep-2008,5371.9
Oct-2008,5763.7
Nov-2008,5945.4
Dec-2008,7733.9
Jan-2009,5990.9
Feb-2009,5189.9
Mar-2009,5751
Apr-2009,5795.8
May-2009,5943.7
Jun-2009,5799.4
Jul-2009,5884.7
Aug-2009,5861.6
Sep-2009,5852.2
Oct-2009,6315.2
Nov-2009,6603.4
Dec-2009,8259.6
Jan-2010,6229.9
Feb-2010,5389.3
Mar-2010,6038.6
Apr-2010,5846.5
May-2010,6087.5
Jun-2010,6005.4
Jul-2010,6215.9
Aug-2010,6144.2
Sep-2010,6174.6
Oct-2010,6333.6
Nov-2010,6621.3
Dec-2010,8387.7
Jan-2011,6343.8
Feb-2011,5614.9
Mar-2011,6136
Apr-2011,6053.8
May-2011,6038.9
Jun-2011,5971.9
Jul-2011,6161.2
Aug-2011,6175.6
Sep-2011,6255.1
Oct-2011,6482.9
Nov-2011,6781.2
Dec-2011,8558.2
Jan-2012,6317.7
Feb-2012,5764.9
Mar-2012,6271.1
Apr-2012,6116
May-2012,6350.6
Jun-2012,6353.2
Jul-2012,6337.6
Aug-2012,6444.8
Sep-2012,6434.3
Oct-2012,6664.3
Nov-2012,7003.2
Dec-2012,8598.7
Jan-2013,6647.5
Feb-2013,5927.2
Mar-2013,6531.4
Apr-2013,6340
May-2013,6542.1
Jun-2013,6413.3
Jul-2013,6480.5
Aug-2013,6675.2
Sep-2013,6604.1
Oct-2013,7028.2
Nov-2013,7393.5
Dec-2013,9189
Jan-2014,7237.4
Feb-2014,6355.1
Mar-2014,7045.2
Apr-2014,6914.8
May-2014,7078.5
Jun-2014,6932.2
Jul-2014,7178.3
Aug-2014,7135.1
Sep-2014,7330.2
Oct-2014,7759.8
Nov-2014,8020.7
Dec-2014,9825.4
Jan-2015,7663.1
Feb-2015,6730.3
Mar-2015,7455.4
Apr-2015,7250
May-2015,7476
Jun-2015,7436.6
Jul-2015,7575.9
Aug-2015,7542.5
Sep-2015,7664.8
Oct-2015,8168.2
Nov-2015,8351.7
Dec-2015,10383.7
Jan-2016,7997.5
Feb-2016,7301
Mar-2016,7847.1
Apr-2016,7703.5
May-2016,7796
Jun-2016,7756.2
Jul-2016,7792
Aug-2016,7805.4
Sep-2016,8043.8
Oct-2016,8383.1
Nov-2016,8744
Dec-2016,10783.1
Jan-2017,8199
Feb-2017,7298.9
Mar-2017,8085.8
Apr-2017,7883.7
May-2017,8132
Jun-2017,8130.1
